distancia;cota
17175.6235046;371.0
17219.8778317;371.0
17264.1321588;370.0
17308.3864859;369.0
17352.6408131;369.0
17396.8951402;367.201873779
17426.922964;367.196655273
17456.9507879;367.191436768
17486.9786117;367.186218262
17517.0064356;367.180999756
17547.0342594;367.17578125
17577.0620833;367.170562744
17607.0899071;367.165344238
17637.117731;367.160125732
17667.1455548;367.154907227
17697.1733787;367.149688721
17727.2012025;367.144470215
17757.2290264;367.139251709
17787.2568502;367.134033203
17817.2846741;367.130950928
17847.3124979;367.125732422
17889.9063503;367.118377686
17932.5002026;367.111022949
17975.0940549;367.103668213
18017.6879073;367.096313477
18060.2817596;367.08895874
18102.875612;368.0
18145.4694643;367.063812256
18188.0633166;368.0
18230.657169;369.0
18273.2510213;374.0
18309.393013;371.0
18345.5350046;371.0
18381.6769963;368.007354736
18417.8189879;371.0
18453.9609796;368.0
18490.1029712;366.023010254
18526.2449629;366.017791748
18562.3869545;366.012573242
18594.1998692;366.010437012
18626.0127839;366.017791748
18657.8256986;367.0
18689.6386133;365.090148926
18721.451528;365.08493042
18753.2644427;365.079711914
18785.0773574;365.072357178
18816.8902721;365.070220947
18848.7031868;366.0
18880.5161015;368.0
18912.3290162;369.0
18944.1419309;368.0
18975.9548456;368.0
19007.7677602;367.0
19039.5806749;365.027282715
19070.2261515;366.0
19100.8716282;367.0
19131.5171048;368.0
19162.1625814;367.0
19192.808058;368.0
19223.4535346;367.0
19254.0990112;368.0
19284.7444878;368.0
19315.3899644;367.0
19346.035441;367.0
19376.6809176;366.005218506
19407.3263942;367.0
19437.9718708;368.0
19468.6173474;367.0
19498.5219914;366.0
19528.4266354;367.0
19558.3312793;367.0
19588.2359233;365.0
19618.1405673;365.0
19648.0452112;364.0
19677.9498552;363.0
19707.8544992;363.0
19737.7591431;363.0
19767.6637871;363.0
19797.5684311;363.0
19827.473075;363.007354736
19857.377719;363.012573242
19887.282363;363.007354736
19917.1870069;364.0
19947.0916509;363.0
19984.5608549;363.0
20022.0300589;363.0
20059.4992629;364.0
20095.0400182;364.0
20130.5807734;363.005218506
20166.1215287;363.0
20201.6622839;362.236297607
20237.2030392;362.228942871
20272.7437944;362.223724365
20308.2845497;362.216369629
20341.2259888;362.214233398
20374.1674279;362.206878662
20407.108867;362.204742432
20440.0503061;362.202606201
20472.9917452;363.0
20505.9331842;362.193115234
20538.8746233;362.190979004
20571.8160624;362.183624268
20604.7575015;362.181488037
20637.6989406;362.174133301
20670.6403797;362.17199707
20703.5818188;362.16986084
20736.5232579;362.162506104
20769.464697;363.0
20802.4061361;362.158233643
20835.3475752;362.150878906
20868.2890143;362.148742676
20901.2304534;362.139251709
20934.6237624;362.134033203
20968.0170714;362.128814697
21001.4103805;362.121459961
21034.8036895;362.116241455
21068.1969985;362.111022949
21101.5903076;362.103668213
21134.9836166;362.098449707
21168.3769257;362.091094971
21201.7702347;362.085876465
21236.4078909;362.078521729
21271.0455471;362.073303223
21305.6832032;362.065948486
21340.3208594;362.06072998
21374.9585156;362.053375244
21409.5961718;362.048156738
21444.2338279;362.040802002
21478.8714841;362.035583496
21513.5091403;362.02822876
21548.1467965;362.020874023
21582.7844526;362.015655518
21617.4221088;363.0
21652.059765;362.007354736
21686.6974212;372.0
21717.1615976;371.0
21747.625774;370.0
21778.0899504;370.0
21808.5541269;370.0
21839.0183033;369.0
21869.4824797;369.0
21899.9466561;369.0
21930.4108325;369.0
21960.875009;368.0
21991.3391854;366.0
22021.8033618;367.0
22052.2675382;368.0
22082.7317146;369.0
22113.1958911;371.0
22143.6600675;374.0
22174.1242439;375.0
22204.5884203;374.0
22235.0525967;375.0
22265.5167732;375.0
22295.9809496;375.0
22326.445126;375.0
22356.9093024;374.0
22387.3734789;372.0
22417.8376553;371.0
22450.9842148;372.0
22484.1307743;372.0
22517.2773338;370.0
22550.4238933;369.0
22583.5704528;368.012573242
22616.7170123;370.0
22649.8635718;370.0
22683.0101313;370.0
22716.1566908;370.0
22749.303193;367.0
22782.4496952;365.0
22815.5961975;365.0
22848.7426997;362.0
22881.8892019;359.012573242
22915.0357041;359.010437012
22948.1822064;359.012573242
22981.3287086;359.014709473
23014.4752108;362.0
23055.2326417;359.012573242
23095.9900725;361.0
23136.7475034;358.0
23177.5049343;358.0
23218.2623651;358.0
23259.019796;362.0
23299.7772269;364.0
23340.5346577;364.0
23381.2920886;364.0
23422.0495194;360.007354736
23460.8659032;361.0
23499.682287;359.0
23538.4986708;357.0
23577.3150546;358.0
23616.1314384;356.0
23654.9478221;355.0
23693.7642059;354.0
23740.7117074;353.0
23787.6592088;352.02822876
23834.6067102;355.0
23881.5542117;356.0
23928.5017131;357.0
23975.4492145;355.0
24022.396716;352.0
24054.8588646;351.029418945
24087.3210132;351.027282715
24119.7831618;352.0
24152.2453104;354.0
24184.7074591;354.0
24217.1696077;351.0
24249.6317563;350.092285156
24282.0939049;350.08706665
24314.5560535;351.0
24352.8760583;350.074493408
24391.1960631;350.067138672
24429.5160679;350.059783936
24467.8360727;350.052429199
24506.1560775;350.047210693
24544.4760823;350.039855957
24582.7960871;350.032501221
24621.1160919;350.025146484
24659.4360967;351.0
24697.7561015;355.0
24736.0761063;357.0
24774.3961111;358.0
24812.7161159;357.0
24851.0361207;357.0
24889.3561255;356.0
24927.6761303;355.0
24965.9961351;355.0
25004.3161399;356.0
25042.6361447;355.0
25080.9561495;356.0
25119.2761543;355.0
25156.7463026;352.0
25194.2164508;353.0
25231.6865991;351.0
25269.1567473;351.0
25306.6268956;352.0
25344.0970438;350.0
25381.5671921;347.03036499
25419.0373403;347.025146484
25456.5074886;349.0
25493.9776369;353.0
25531.4477851;354.0
25568.9179334;353.0
25606.3880816;351.007354736
25643.8582299;351.0
25681.3283781;350.0
25718.7985264;348.0
25756.2686746;344.051239014
25793.7388229;344.043884277
25832.7612092;344.041748047
25871.7835955;344.038665771
25910.8059819;344.035583496
25949.8283682;344.032501221
25988.8507546;344.029418945
26027.8731409;345.0
26066.8955272;346.0
26105.9179136;348.0
26144.9402999;350.0
26183.9626863;351.0
26222.9850726;349.0
26262.0074589;348.0
26294.9294721;348.0
26327.8514852;347.017791748
26360.7734983;347.014709473
26393.6955115;348.0
26426.6175246;348.0
26459.5395377;348.0
26492.4615508;348.0
26525.383564;349.0
26558.3055771;347.0
26591.2275902;347.0
26624.1496034;346.0
26657.0716165;344.0
26689.9936296;343.392852783
26722.9156428;343.387634277
26756.498572;343.385498047
26790.0815013;343.378143311
26823.6644305;343.37600708
26857.2473598;343.371734619
26890.830289;343.364379883
26924.4132182;347.0
26957.9961475;346.0
26991.5790767;348.0
27025.162006;350.0
27058.7449352;351.0
27092.3278645;352.0
27125.9107937;351.0
27159.493723;348.0
27193.0766522;347.0
27226.6595815;345.0
27258.0127834;343.254547119
27289.3659853;343.252410889
27320.7191873;343.250274658
27352.0723892;343.252410889
27383.4255911;345.0
27414.7787931;344.0
27446.131995;343.205200195
27477.4851969;343.20211792
27508.8383989;343.199981689
27540.1916008;343.197845459
27571.5448027;343.195709229
27602.8980046;350.0
27634.2512066;354.0
27673.8525661;351.0
27713.4539257;350.0
27753.0552853;350.0
27792.6566448;352.0
27832.2580044;353.0
27871.8593639;346.0
27911.4607235;348.0
27951.0620831;344.0
27990.6634426;343.136871338
28030.2648022;343.133789062
28069.8661618;343.130706787
28109.4675213;343.127624512
28149.0688809;343.1171875
28188.6702404;343.114105225
28228.2716;343.111022949
28267.8729596;343.107940674
28307.4743191;345.0
28347.0756787;349.0
28386.6770383;350.0
28426.2783978;352.0
28465.8797574;353.0
28505.4811169;354.0
28542.2548141;353.0
28579.0285113;353.0
28615.8022085;353.0
28652.5759057;351.0
28689.3496029;349.0
28726.1233001;348.0
28762.8969973;347.0
28799.6706945;346.010437012
28836.4443917;346.007354736
28873.2180889;347.0
28909.9917861;345.0
28946.7654833;343.019927979
28983.5391805;343.014709473
29020.3128777;343.017791748
29057.0865749;343.023010254
29092.5906399;343.020874023
29128.0947048;343.019927979
29163.5987697;343.017791748
29198.8399793;343.012573242
29234.0811888;343.005218506
29269.3223984;344.0
29304.563608;342.0
29339.8048175;339.064758301
29375.0460271;339.059539795
29410.2872367;339.052185059
29445.5284462;339.049102783
29480.7696558;339.043884277
29516.0108654;339.040802002
29551.2520749;339.040802002
29586.4932845;340.0
29636.3517748;343.0
29686.2102651;341.0
29725.3234437;341.0
29764.4366223;340.0
29803.5498009;339.0
29842.6629795;338.06072998
29881.7761581;338.053375244
29920.8893367;338.046020508
29960.0025153;338.042938232
29999.115694;339.0
30038.2288726;341.0
30077.3420512;342.0
30109.729882;340.0
30142.1177128;340.0
30174.5055437;338.0
30206.8933745;338.0
30239.2812053;338.0
30271.6690361;335.055511475
30304.056867;335.035583496
30336.4446978;335.03036499
30368.8325286;335.025146484
30401.2203594;335.019927979
30433.6081902;335.012573242
30478.7086413;335.007354736
30523.8090923;335.019927979
30568.9095434;335.017791748
30614.0099944;335.010437012
30659.1104454;336.0
30704.2108965;335.0
30749.3113475;333.090148926
30794.4117986;333.093231201
30839.5122496;335.0
30872.2058339;338.0
30904.8994181;338.0
30937.5930024;338.0
30970.2865867;339.0
31002.9801709;340.0
31035.6737552;339.0
31068.3673395;338.0
31101.0609237;336.0
31133.754508;335.0
31170.4182472;334.005218506
31207.0819865;334.0
31243.7457257;333.025146484
31280.4094649;333.017791748
31317.0732041;334.0
31353.7369434;334.0
31390.4006826;337.0
31427.0644218;336.0
31463.728161;334.0
31500.3919003;334.0
31537.0556395;333.010437012
31573.7193787;334.0
31610.3831179;334.0
31647.0468571;333.0
31677.3793245;333.0
31707.7117919;333.0
31738.0442592;331.316467285
31768.3767266;331.311248779
31798.709194;331.306030273
31829.0416613;331.300811768
31859.3741287;332.0
31889.7065961;333.0
31920.0390634;332.0
31950.3715308;331.271392822
31980.7039982;331.266174316
32011.0364655;331.260955811
32041.3689329;331.255737305
32074.3276749;331.250518799
32107.2864168;332.0
32140.2451588;331.241027832
32173.2039008;331.238891602
32206.1626428;331.231536865
32239.1213848;331.229400635
32272.0801267;331.227264404
32305.0388687;331.219909668
32337.9976107;331.217773438
32370.9563527;331.210418701
32403.9150946;331.20614624
32436.3109674;331.200927734
32468.7068402;331.195709229
32501.102713;331.190490723
32533.4985858;331.183135986
32565.8944586;331.17791748
32598.2903314;331.172698975
32630.6862042;331.165344238
32663.082077;331.160125732
32695.4779498;331.154907227
32727.8738226;331.149688721
32760.2696954;331.146606445
32792.6655682;331.136169434
32825.061441;331.130950928
32857.4573138;331.130950928
32889.8531866;333.0
32922.2490594;334.0
32954.6449322;334.0
32997.6579311;337.0
33040.6709299;336.0
33083.6839288;334.0
33126.6969276;335.0
33169.7099265;335.0
33212.7229254;331.040802002
33255.7359242;331.037719727
33298.7489231;331.034637451
33341.7619219;331.034637451
33372.1864784;331.032501221
33402.6110349;331.03036499
33433.0355913;331.02822876
33463.4601478;331.026092529
33493.8847043;334.0
33524.3092608;335.0
33554.7338172;334.0
33585.1583737;333.0
33615.5829302;333.0
33646.0074867;332.0
33676.4320431;331.0
33706.8565996;331.0
33737.2811561;331.0
33767.7057126;331.0
33798.130269;331.0
33828.5548255;330.176727295
33858.979382;330.169372559
33889.4039384;330.164154053
33919.8284949;330.158935547
33950.2530514;330.153717041
33980.6776079;330.148498535
34011.1021643;330.143280029
34041.5267208;330.138061523
34071.9512773;330.132843018
34102.3758338;330.127624512
34133.9776958;330.1171875
34165.5795578;330.109832764
34197.1814198;330.104614258
34228.7832819;330.099395752
34260.3851439;330.094177246
34291.9870059;330.091094971
34323.588868;330.085876465
34355.19073;331.0
34386.792592;330.071166992
34418.3944541;330.063812256
34449.9963161;330.05859375
34481.5981781;330.053375244
34513.2000401;330.048156738
34544.8019022;330.040802002
34576.4037642;330.035583496
34608.0056262;330.03036499
34639.6074883;330.025146484
34671.2093503;331.0
34702.8112123;331.0
34734.4130743;330.007354736
34766.0149364;330.0
34797.6167984;329.156799316
34829.2186604;329.151580811
34859.9121777;332.0
34890.605695;334.0
34921.2992122;335.0
34951.9927295;332.0
34982.6862468;332.0
35013.379764;334.0
35044.0732813;335.0
35074.7667986;335.0
35105.4603158;334.0
35136.1538331;331.0
35166.8473504;330.0
35197.5408676;330.0
35228.2343849;331.0
35258.9279022;331.0
35289.6214194;330.0
35320.3149367;329.059539795
35351.008454;329.052185059
35381.7019712;329.046966553
35412.3954885;329.041748047
35443.0890058;329.036529541
35473.782523;329.031311035
35504.4760403;329.026092529
35535.1695576;329.023010254
35565.8630749;330.0
35596.5565921;330.0
35627.2501094;330.0
35657.522707;330.0
35687.7953046;329.0
35718.0679023;330.0
35748.3404999;332.0
35778.6130975;332.0
35808.8856951;331.0
35839.1582928;328.0
35869.4308904;325.032501221
35899.703488;325.03036499
35929.9760856;325.023010254
35960.2486833;325.020874023
35990.5212809;325.023010254
36020.7938785;327.0
36051.0664761;327.0
36081.3390738;328.0
36111.6116714;329.0
36141.884269;329.0
36172.1568666;329.0
36202.4294643;328.0
36232.7020619;328.0
36262.9746595;328.0
36293.2472571;328.0
36323.5198548;325.0
36353.7924524;325.0
36384.06505;326.0
36414.3376476;326.0
36444.6102453;325.0
36474.8828429;326.0
36505.1554405;325.0
36535.4280381;325.0
36565.7006358;325.0
36595.9732334;326.0
36632.6339845;324.007354736
36669.2947355;324.0
36705.9554866;323.199981689
36742.6162377;323.192626953
36779.2769888;323.187408447
36815.9377399;325.0
36852.5984909;325.0
36889.259242;324.0
36925.9199931;323.160125732
36962.5807442;325.0
36999.2414952;327.0
37035.9022463;325.0
37072.5629974;328.0
37109.2237485;328.0
37145.8844996;327.0
37182.5452506;328.0
37219.2060017;331.0
37255.8667528;330.0
37292.5275039;329.0
37329.1882549;330.0
37365.849006;332.0
37402.5097571;333.0
37439.1705082;333.0
37475.8312593;329.0
37512.4920103;327.0
37549.1527614;326.0
37585.8135125;325.0
37622.4742636;324.0
37659.1350146;323.012573242
37695.7957657;325.0
37732.4565168;323.0
37769.1172679;323.0
37805.778019;325.0
37842.43877;324.0
37879.0995211;323.0
37915.7602722;326.0
37952.4210233;326.0
37989.0817744;330.0
38025.7425254;331.0
38062.4032765;331.0
38099.0640276;329.0
38135.7247787;329.0
38171.3508054;328.0
38206.9768322;326.0
38242.602859;324.0
38278.2288858;321.247436523
38313.8549126;321.240081787
38349.4809394;321.237945557
38385.1069661;321.23059082
38420.7329929;321.223236084
38456.3590197;321.221099854
38491.9850465;321.213745117
38527.6110733;322.0
38563.2371;322.0
38598.8631268;321.196899414
38634.4891536;322.0
