"","correl"
"530",-0.132867132867133
"531",-0.637860377677839
"532",0.132867132867133
"533",-0.559440559440559
"534",0.111888111888112
"535",-0.251748251748252
"536",0.769230769230769
"537",-0.818181818181818
"538",-0.203317995384811
"539",0.818181818181818
"540",-0.692307692307692
"541",0.048951048951049
"542",-0.384615384615385
"543",0.615384615384615
"544",-0.405594405594406
"545",-0.494341792700326
"546",0.405594405594406
"547",-0.335664335664336
"548",0.27972027972028
"549",0.0979020979020979
"550",0.342657342657343
"551",-0.454545454545455
"552",-0.669753396561731
"553",0.454545454545455
"554",-0.164835164835165
"555",0.384615384615385
"556",0.231086876109906
"557",0.0824175824175824
"558",-0.247252747252747
"559",-0.516752326586893
"560",0.247252747252747
"561",-0.038528955758609
"562",-0.154115823034436
"563",-0.336252704802406
"564",-0.273205322651955
"565",0.441331675053158
"566",0.425320031489939
"567",-0.441331675053158
"568",-0.171617265565418
"569",0.310231210829793
"570",0.083608411429306
"571",0.14961505203139
"572",0.255225676994723
"573",-0.202420364513057
"574",-0.0264026562408335
"575",0.233223463460696
"576",0.165016601505209
"577",-0.0638064192486809
"578",-0.33883408842403
"579",-0.220022135340279
"580",0.195819700452848
"581",-0.103410403609931
"582",0.612009005197102
"583",-0.57306297759365
"584",0.278185911453228
"585",-0.534116949990198
"586",-0.586972273166311
"587",0.628700159884296
"588",-0.63426387811336
"589",0.0659340659340659
"590",0.214285714285714
"591",-0.197802197802198
"592",0.00549450549450549
"593",-0.142857142857143
"594",0.225274725274725
"595",-0.159340659340659
"596",0.0384615384615385
"597",0.164835164835165
"598",0.148351648351648
"599",-0.142857142857143
"600",0.00549450549450549
"601",-0.0879120879120879
"602",0.0879120879120879
"603",-0.159340659340659
"604",0.379120879120879
"605",-0.285714285714286
"606",0.115384615384615
"607",0.269230769230769
"608",-0.159340659340659
"609",0.214285714285714
"610",0.21978021978022
"611",-0.17032967032967
"612",0.269230769230769
"613",-0.258241758241758
"614",-0.203296703296703
"615",0.0659340659340659
"616",-0.054945054945055
"617",-0.0857142857142857
"618",0.230769230769231
"619",-0.0549450549450549
"620",0.107692307692308
"621",0.125274725274725
"622",-0.0945054945054945
"623",-0.0197802197802198
"624",-0.032967032967033
"625",-0.043956043956044
"626",0.186813186813187
"627",-0.021978021978022
"628",-0.054945054945055
"629",-0.0384615384615385
"630",-0.0164835164835165
"631",-0.0373626373626374
"632",-0.279120879120879
"633",0.314285714285714
"634",0.0373626373626374
"635",0.182417582417582
"636",-0.173626373626374
"637",-0.208791208791209
"638",0.371428571428571
"639",-0.243956043956044
"640",0.279120879120879
"641",-0.371428571428571
"642",-0.30989010989011
"643",0.292307692307692
"644",-0.595604395604396
"645",0.248277987644665
