distancia;cota
19511.9798555;357.005218506
19543.2048216;357.0
19574.4297878;358.0
19605.654754;357.007354736
19636.8797202;357.007354736
19668.1046863;357.007354736
19699.3296525;359.0
19730.5546187;359.0
19761.7795848;358.0
19793.004551;356.0
19835.6484319;351.0
19878.2923128;339.0
19920.9361937;332.0
19963.5800745;330.0
20006.2239554;325.0
20048.8678363;325.0
20091.5117172;325.0
20134.1555981;324.0
20176.799479;322.0
20219.4433598;327.0
20262.0872407;329.0
20304.7311216;327.0
20347.3750025;324.0
20390.0188834;322.025146484
20432.6627643;329.0
20475.3066452;332.0
20517.950526;330.005218506
20560.5944069;330.012573242
20603.2382878;331.0
20633.346778;343.0
20663.4552682;347.0
20693.5637585;351.0
20723.6722487;354.0
20753.7807389;355.0
20783.8892291;355.0
20813.9977193;354.0
20844.1062096;353.0
20874.2146998;348.0
20917.3684821;338.0
20960.5222643;331.0
21003.6760466;330.0
21046.8298289;328.0
21089.9836112;324.0
21133.1373935;326.0
21163.89919;324.0
21194.6609865;321.0
21225.422783;320.0
21256.1845795;321.0
21286.946376;322.0
21317.7081725;323.0
21348.469969;321.0
21379.2317655;321.0
21409.993562;321.0
21440.7553584;320.012573242
21471.5171549;320.007354736
21502.2789514;320.0
21533.3523886;319.022064209
21564.4258257;321.0
21595.4992628;322.0
21626.5727;321.0
21657.6461371;318.0
21688.7195742;317.068084717
21719.7930114;317.062866211
21750.8664485;317.057647705
21781.9398856;317.055511475
21813.0133228;320.0
21844.0867599;321.0
21875.160197;323.0
21906.2336342;322.0
21937.3070713;322.0
21968.3805084;322.0
21999.4539456;320.0
22030.5273827;319.035583496
22061.6008198;323.0
22092.674257;325.0
22124.5196904;328.0
22156.3651238;327.0
22188.2105573;326.0
22220.0559907;326.0
22251.9014241;326.0
22283.7468575;328.0
22315.592291;326.0
22347.4377244;326.0
22379.2831578;326.007354736
22411.1285913;328.0
22442.9740247;333.0
22474.8194581;336.0
22513.084114;337.0
22551.3487698;340.0
22589.6134257;346.0
22627.8780816;348.0
22666.1427374;351.0
22704.4073933;350.0
22738.5658295;352.0
22772.7242658;354.0
22806.882702;356.0
22841.0411383;355.0
22875.1995745;358.0
22909.3580108;358.0
22943.516447;359.0
22977.6748833;360.0
23011.8333195;361.0
23045.9917558;361.0
23080.150192;364.0
23114.3086283;366.0
23148.4670645;364.0
23182.6255008;364.0
23216.783937;359.0
23250.3658709;361.0
23283.9478047;361.0
23317.5297386;362.0
23351.1116724;359.0
23384.6936063;359.0
23418.2755402;359.0
23451.857474;357.0
23485.4394079;353.0
23519.0213417;346.0
23552.6032756;345.0
23586.1852094;342.0
23619.7671433;340.0
23653.3490771;332.0
23686.931011;331.0
23720.5129449;326.0
23754.0948787;321.0
23787.6768126;317.0
23821.2587464;314.0
23854.8406803;313.052429199
23888.4226141;313.050292969
23922.004548;313.053375244
23955.5864818;315.0
23989.1684157;319.0
24022.7503496;318.0
24056.3322834;315.0
24089.9142173;313.0
24123.4961511;311.213745117
24157.078085;313.0
24190.6600188;314.0
24224.2419527;316.0
24257.8238865;317.0
24291.4058204;319.0
24323.3409897;319.0
24355.2761591;317.005218506
24387.2113284;320.0
24419.1464977;321.0
24451.0816671;320.0
24483.0168364;318.0
24520.8374778;315.0
24558.6581191;314.0
24596.4787605;312.007354736
24634.2994018;312.010437012
24672.1200432;313.0
24709.9406846;314.0
24747.7613259;316.0
24779.5440436;316.0
24811.3267613;315.0
24843.109479;313.007354736
24874.8921967;313.007354736
24906.6749144;313.0
24938.4576321;312.0
24970.2403498;311.136871338
25002.0230675;311.136871338
25033.8057852;313.0
25065.5885029;313.0
25097.3712205;312.0
25129.1539382;311.11505127
25160.9366559;311.109832764
25190.7733542;312.0
25220.6100525;312.0
25250.4467509;312.0
25280.2834492;313.0
25310.1201475;313.0
25339.9568458;311.078521729
25369.7935441;311.073303223
25399.6302424;311.068084717
25429.4669407;311.062866211
25459.303639;311.057647705
25489.1403373;311.052429199
25518.9770356;311.047210693
25548.8137339;312.0
25578.6504322;312.0
25608.4871305;311.034637451
25638.3238288;312.0
25668.1605271;313.0
25697.9972254;316.0
25727.8339238;319.0
25757.6706221;324.0
25787.5073204;327.0
25817.3440187;331.0
25847.180717;331.0
25877.0174153;330.0
25906.8541136;324.0
25936.6908119;320.0
25966.5275102;318.0
25996.3642085;318.0
26026.2009068;317.0
26056.0376051;312.0
26085.8743034;309.0
26115.7110017;308.0
26147.2336075;308.0
26178.7562133;307.0
26210.2788191;306.038665771
26241.801425;306.033447266
26273.3240308;306.02822876
26304.8466366;306.023010254
26336.3692424;306.017791748
26367.8918482;307.0
26399.414454;306.005218506
26430.9370598;306.007354736
26462.4596656;310.0
26493.9822714;310.0
26525.5048772;304.0
26557.027483;305.0
26588.5500888;303.010437012
26620.0726946;303.005218506
26651.5953004;303.0
26683.1179062;302.046966553
26714.640512;304.0
26746.1631178;302.046020508
26777.6857236;302.051239014
26813.3017485;302.05645752
26848.9177734;302.059539795
26884.5337983;302.066894531
26920.1498231;302.072113037
26955.765848;305.0
26991.3818729;304.0
27026.9978978;305.0
27062.6139227;307.0
27098.2299475;306.0
27133.8459724;306.0
27169.4619973;306.0
27205.0780222;307.0
27240.6940471;305.0
27276.3100719;303.0
27311.9260968;303.0
27347.5421217;302.0
27383.1581466;301.08493042
27418.7741715;303.0
27454.3901963;305.0
27491.6351164;306.0
27528.8800364;304.0
27566.1249565;300.0
27603.3698765;299.039855957
27640.6147966;299.036773682
27677.8597166;299.034637451
27715.1046367;300.0
27752.3495567;300.0
27789.5944768;299.0
27826.8393968;300.0
27864.0843169;301.0
27901.3292369;300.0
27938.574157;298.480377197
27975.819077;301.0
28013.0639971;302.0
28050.3089171;298.457366943
28087.5538372;298.450012207
28124.7987572;298.444793701
28162.0436773;298.437438965
28199.2885973;298.430084229
28236.5335173;298.424865723
28273.7784374;298.417510986
28311.0233574;298.41015625
28348.2682775;298.402801514
28385.5131975;298.397583008
28422.7581176;298.390228271
28460.0030376;298.382873535
28497.2479577;298.37979126
28534.4928777;298.374572754
28571.7377978;298.371490479
28608.9827178;298.368408203
28646.2276379;301.0
28683.4725579;299.0
28720.717478;298.357025146
28757.962398;298.357025146
28795.2073181;301.0
28832.4522381;306.0
28867.0791444;306.0
28901.7060507;301.0
28936.332957;302.0
28970.9598633;299.0
29005.5867695;301.0
29040.2136758;302.0
29074.8405821;302.0
29106.8614631;302.0
29138.8823441;302.005218506
29170.9032251;303.0
29202.9241061;304.0
29234.9449871;305.0
29266.9658681;305.0
29298.9867492;304.0
29331.0076302;302.0
29363.0285112;301.0
29395.0493922;298.336364746
29427.0702732;298.334228516
29459.0911542;298.332092285
29491.1120352;298.334228516
29523.1329162;298.332092285
29554.7993419;298.334228516
29586.4657676;298.33114624
29618.1321933;298.333282471
29649.7986189;298.335418701
29681.4650446;298.332336426
29713.1314703;301.0
29744.797896;304.0
29776.4643217;305.0
29808.1307474;305.0
29839.7971731;304.0
29871.4635988;303.0
29903.1300244;304.0
29934.7964501;304.0
29966.4628758;304.0
29998.1293015;304.0
30029.7957272;306.0
30061.4621529;306.0
30104.7706018;305.0
30148.0790506;308.0
30191.3874995;308.0
30234.6959484;306.012573242
30278.0043972;314.0
30321.3128461;329.0
30364.621295;343.0
30407.9297438;343.0
30451.2381927;338.005218506
30494.5466416;339.0
30537.8550905;336.0
30581.1635393;334.0
30624.4719882;335.0
30659.5214991;336.0
30694.57101;335.0
30729.6205209;334.0
30764.6700318;334.0
30799.7195426;334.0
30834.7690535;333.0
30869.8185644;332.0
30904.8680753;330.0
30939.9175862;329.0
30974.9670971;327.0
31010.016608;328.0
31045.0661189;327.0
31080.1156298;327.0
31118.0447893;332.0
31155.9739488;338.0
31193.9031084;335.0
31231.8322679;328.0
31269.7614275;328.0
31307.690587;325.0
31345.6197466;320.0
31383.5489061;311.0
31421.4780657;308.0
31459.4072252;303.0
31497.3363847;299.0
31535.2655443;291.216339111
31566.4623605;291.211120605
31597.6591767;291.2059021
31628.8559929;291.200683594
31660.0528091;291.193328857
31691.2496253;291.188110352
31722.4464415;291.182891846
31753.6432577;291.17767334
31784.8400739;291.172454834
31816.0368901;291.165100098
31847.2337064;291.159881592
31878.4305226;291.154663086
31909.6273388;291.14944458
31940.824155;291.144226074
31974.2553157;291.139007568
32007.6864763;291.133789062
32041.117637;291.130706787
32074.5487977;291.125488281
32107.9799584;291.122406006
32141.411119;291.1171875
32174.8422797;300.0
32208.2734404;299.0
32241.7046011;300.0
32275.1357618;297.005218506
32308.5669224;297.007354736
32341.9980831;301.0
32375.4292438;303.0
32411.8248196;303.0
32448.2203954;304.0
32484.6159711;305.0
32521.0115469;308.0
32557.4071227;310.0
32593.8026985;312.0
32630.1982742;316.0
32666.59385;315.0
32702.9894258;315.0
32739.3850016;316.0
32775.7805774;320.0
32812.1761531;320.0
32854.1188357;316.0
32896.0615184;302.0
32938.004201;295.0
32979.9468836;289.0
33021.8895662;287.040802002
33063.8322488;287.037719727
33105.7749314;287.034637451
33136.4149641;287.032501221
33167.0549968;291.0
33197.6950295;291.0
33228.3350622;290.0
33258.9750949;288.0
33289.6151276;287.012573242
33320.2551603;287.010437012
33350.895193;287.007354736
33381.5352257;288.0
33412.1752584;289.0
33442.8152912;291.0
33473.4553239;291.0
33504.0953566;290.0
33534.7353893;288.0
33565.375422;286.0
33596.0154547;286.0
33626.6554874;285.0
33657.2955201;284.034637451
33687.9355528;285.0
33718.5755855;284.027282715
33749.2156182;284.025146484
33779.8556509;284.023010254
33810.4956836;284.019927979
33841.1357163;284.025146484
33871.775749;284.019927979
33902.4157817;284.012573242
33933.0558145;284.010437012
33963.6958472;284.012573242
33994.3358799;284.019927979
34024.9759126;284.014709473
34055.6159453;284.007354736
34086.255978;284.0
34116.8960107;283.0
34147.5360434;282.0
34178.1760761;281.0
34208.8161088;281.0
34239.4561415;279.482025146
34270.0961742;281.0
34302.4885097;282.0
34334.8808451;281.0
34367.2731805;280.012573242
34399.665516;280.014709473
34432.0578514;280.014709473
34464.4501868;281.0
34496.8425223;283.0
34529.2348577;286.0
34561.6271931;287.0
34594.0195285;286.0
34626.411864;287.0
34658.8041994;287.0
34691.1965348;287.0
34723.5888703;286.0
34755.9812057;284.0
34788.3735411;283.0
34820.7658766;285.0
34853.158212;286.0
34885.5505474;289.0
34917.9428829;292.0
34950.3352183;287.0
34982.7275537;285.0
35015.1198892;283.0
35047.5122246;282.0
35079.90456;282.0
35112.2968955;286.0
35144.6892309;285.0
35177.0815663;285.005218506
35208.9298925;286.0
35240.7782187;288.0
35272.6265449;287.0
35304.474871;286.0
35336.3231972;285.0
35368.1715234;285.0
35400.0198495;286.0
35431.8681757;287.0
35463.7165019;288.0
35495.564828;288.0
35527.4131542;287.0
35559.2614804;286.005218506
35591.1098066;286.0
35622.9581327;285.0
35654.9711511;285.0
35686.9841695;286.0
35718.9971878;287.0
35751.0102062;287.0
35783.0232245;284.0
35815.0362429;283.007354736
35847.0492613;283.007354736
35879.0622796;283.0
35911.075298;282.0
35943.0883164;281.0
35975.1013347;280.0
36007.1143531;280.0
36039.1273714;280.0
36071.1403898;279.298675537
36103.1534082;279.300811768
36135.1664265;279.302947998
36167.1794449;279.306030273
36199.1924633;279.311248779
36231.2054816;281.0
36263.2185;284.0
36295.2315183;283.0
36327.2445367;284.0
36359.0654416;287.0
36390.8863465;286.0
36422.7072514;285.0
36454.5281563;285.0
36486.3490611;284.0
